value,llh,log_posterior,dchi2,dchi2_post,prof_kamland_energy_scale,prof_kamland_flux_scale,prof_kamland_geonu_scale,prof_nc_norm,prof_nutau_cc_norm,prof_dm21,prof_dm31,prof_dcp,prof_th12,prof_th13
0.5235987755982988,-508.16178035587563,-490.1700624399062,23.733926240677874,23.569999367436935,-0.39471519638569763,0.5206496213152181,0.037481371810741515,0.8384800657407796,1.0,7.691974265103487e-5,-0.0026200420017812006,2.7041973775617376,0.5957370133488192,0.1470981935770907
0.5410520681182421,-504.95640085341574,-486.89643476634785,17.323167235758092,17.02274402032026,-0.18771925318791435,0.523512011067873,0.04122603950422132,0.8408405004325128,1.0,7.714937217871579e-5,-0.0025917901166931183,2.677772929144525,0.5954245736937596,0.14736387887111785
0.5585053606381853,-502.4813266343498,-484.4769774703821,12.373018797626173,12.183829428388776,0.37562193988685744,0.5302294551404065,0.032615867396867504,0.8410540053110274,1.0,7.793833755033179e-5,-0.0025438571276144087,2.6888121069975854,0.5962425521705197,0.14777445909177628
0.5759586531581287,-500.37652717561286,-482.3087115673037,8.163419880152333,7.847297622231963,-0.16438862922230812,0.546019901458173,0.03847942626836576,0.8448566334482073,1.0,7.71692887647687e-5,-0.002553852415224735,2.5523633218139667,0.5970999975158663,0.14774441260940566
0.593411945678072,-498.976207167845,-480.979620045743,5.362779864616641,5.189114579110537,0.41150454098801936,0.5430019809509764,0.03341033969789131,0.8444149373910909,1.0,7.796028324266346e-5,-0.002505669074630656,2.5858839320680578,0.5965400440078257,0.1481564281752716
0.6108652381980153,-497.8653902935115,-479.79709903408195,3.1411461159495957,2.8240725557884616,-0.16765973277898222,0.562821830585022,0.03446016362270743,0.8475443070774727,1.0,7.710347973163159e-5,-0.002516127541671165,2.363563417944697,0.5976737755957485,0.1481193332245701
0.6283185307179586,-497.2100381058085,-479.1299938501896,1.8304417405436197,1.4898621880037126,0.04843093091302074,0.5656950922684223,0.03583130037276905,0.8476734859945414,1.0,7.741535325584414e-5,-0.0024873113773909413,2.3105443126273255,0.5976320597121458,0.14838344264911266
0.6457718232379018,-496.92548820935735,-478.8530751703711,1.2613419476413128,0.9360248283667261,-0.12955824788914883,0.5766582585224993,0.0365935852078465,0.8492176388619582,1.0,7.714737378171371e-5,-0.002478409887554833,2.0933405068135755,0.598166757733386,0.148492103641304
0.6632251157578452,-496.9554659915174,-478.88262351838523,1.3212975119614612,0.9951215243950173,0.08071765561554774,0.5825189814292854,0.04260361042751448,0.8488708465540804,1.0,7.744421547192368e-5,-0.0024521964103887085,2.0338715312602793,0.5988075042497732,0.14872159026701137
0.6806784082777885,-497.14778089617334,-479.07220717920586,1.7059273212732933,1.3742888460362792,-0.07006119853901087,0.5919641840768881,0.04238519858108036,0.8508622683900057,1.0,7.721684806091881e-5,-0.0024444961100646063,1.7678698712116943,0.5992102013309726,0.1488159357107398
0.6981317007977317,-497.4979113012057,-479.43670556634765,2.4061881313380127,2.103285620319866,-0.2054005633053553,0.6013853813530213,0.04167192663903041,0.8535399115905622,1.0,7.701403024640536e-5,-0.0024375583990945905,1.4956118887871508,0.5996006040423634,0.1488979549157246
0.715584993317675,-497.8653615037517,-479.79374589150757,3.141088536430061,2.8173662706396954,0.08510773475595121,0.5998022913158444,0.04211627568405529,0.8513673204468768,1.0,7.739872613779664e-5,-0.0024130727408031346,1.5200062909177992,0.5988252127695055,0.14911385534790822
0.7330382858376183,-498.2643689025038,-480.18649437872546,3.939103333934213,3.6028632450754685,-0.0094515979806394,0.6055509956408751,0.042500374951786046,0.8530307805195718,1.0,7.725586005963352e-5,-0.0024084047004573296,1.3023707169597185,0.5991310194499859,0.1491655725904681
0.7504915783575616,-498.61663141571756,-480.54317798434425,4.643628360361731,4.316230456313065,-0.0823471940915376,0.6115488754139761,0.043344432587828274,0.8537332265607234,1.0,7.714873249944733e-5,-0.0024048057200012963,1.133435709942379,0.599434637132157,0.14920403271900046
