ordering,prior,P_upper,P_upper_halfrange,med_sin2_th23,med_sin2_th12,med_sin2_2th13,dlogZ
NO,flat in θ (baseline),0.630838557306,0.019203193137825036,0.5913879570699253,0.3153512948246823,0.08543451320606088,3.7007434154171876e-17
NO,flat in sin²θ₂₃,0.6279053315698095,0.018944025078389715,0.5895019611502955,0.31532013389140656,0.08544015497259079,0.014420469738341796
NO,"flat in sin²θ₁₂, sin²θ₁₃, sin²θ₂₃",0.6279169542723898,0.019272561988402437,0.589411617237539,0.3162629583407757,0.08549704078475434,0.020353544846787905
IO,flat in θ (baseline),0.6233417795489299,0.019157728647129058,0.6154155622860906,0.3182177979996693,0.08572576486266222,-7.401486830834377e-17
IO,flat in sin²θ₂₃,0.619944512804248,0.01936829084757874,0.6134888785190976,0.31824654135698077,0.08573000795377224,0.004535765188261653
IO,"flat in sin²θ₁₂, sin²θ₁₃, sin²θ₂₃",0.6191177729301468,0.019923442110490908,0.6133494720038016,0.3191248739750205,0.0857993723641146,0.014754716700901727
