ordering,seed,n_components,n_cloud,pooled_logZ,pooled_ess,pup_pooled,N_fresh,fresh_logZ,fresh_se,fresh_ess,pup_fresh
NO,11,169,3966,-511.0738689227711,2275.8318795293635,0.6140785561024376,60000,-510.8758114367492,0.005689239722574935,20394.188738440847,0.6116087476433463
NO,23,169,4092,-511.09297354163164,2191.018014525546,0.6259521734374749,60000,-510.8723023402653,0.006313979096720817,17688.99184972771,0.604263723081619
NO,41,169,4602,-511.0904449848116,2232.1795784600786,0.6524849423780877,60000,-510.85446859387145,0.025015602247000297,1556.5738490731937,0.5923743247266037
IO,11,174,3297,-511.5028521329335,2018.0695478172745,0.6278391644973322,60000,-511.26795537632046,0.008324665183535584,11632.565131432963,0.6155972552524112
IO,23,174,2992,-511.5544434321749,1957.6505328415356,0.6019353584275995,60000,-511.28823267919023,0.0067358379734426856,16119.302522461723,0.6137832574468123
IO,41,174,2770,-511.5499085868003,1248.9451998714646,0.6402508157218574,60000,-511.2676110369431,0.017672616889306384,3039.6721378011634,0.5959082076281297
