ordering,pair,lnR,lnR_err
NO,Daya Bay only vs KamLAND only,0.027683182256808436,0.0055505332356937075
NO,Daya Bay only vs MINOS only,1.0815337743370037,0.0006495361759447902
NO,KamLAND only vs MINOS only,-0.09382118215114588,0.018244985409950638
NO,all three,1.1149914592011214,0.01196721792953541
IO,Daya Bay only vs KamLAND only,0.009199793403467993,0.0009218753631324189
IO,Daya Bay only vs MINOS only,0.7141122014381835,0.0021572358850110995
IO,KamLAND only vs MINOS only,-0.10487674679131942,0.004817440342713864
IO,all three,0.7086271121842174,0.01046134471666509
