value,llh,log_posterior,dchi2,dchi2_post,prof_kamland_energy_scale,prof_kamland_flux_scale,prof_kamland_geonu_scale,prof_nc_norm,prof_nutau_cc_norm,prof_dm21,prof_dm31,prof_dcp,prof_th12,prof_th13
0.5235987755982988,-509.4701851216585,-491.703094528187,26.907792155996162,27.21238413538481,0.6076316505473953,0.6715372872679499,0.04027993797666263,0.8316943925391996,1.0,7.825546458640867e-5,0.0026330033073064963,0.28772143485981116,0.6036223362926367,0.14732723940831052
0.5410520681182421,-505.8882467540213,-487.9257845719145,19.74391542072169,19.657764222839774,0.1143077701998391,0.6729109352719225,0.042888659323933376,0.8360817986799743,1.0,7.75961428697307e-5,0.002645845308733041,0.3562248305691102,0.6039195464068385,0.14726405811635807
0.5585053606381853,-503.12288951795614,-485.1340022824062,14.213200948591407,14.074199643823135,-0.03786936352590127,0.6589023579324579,0.04207173526683905,0.8388580379457671,1.0,7.736984090379985e-5,0.0026377926042313047,0.4109415962477002,0.6031048275043396,0.14736919494473733
0.5759586531581287,-500.9309805577245,-482.94015831002304,9.829383028128177,9.686511699056837,-0.204907864448878,0.6420173137149214,0.041847071279746295,0.8416698113404548,1.0,7.711913377684281e-5,0.0026289737836495946,0.4791971939976818,0.6021865341089088,0.1474841078897543
0.593411945678072,-499.27609550373074,-481.317682701786,6.5196129201406166,6.441560482582759,-0.3812891088017825,0.6241248025209627,0.04098993158271558,0.8436938365965452,1.0,7.685513853263085e-5,0.002619668546372226,0.5750092501704998,0.601211769921693,0.14760407871715425
0.6108652381980153,-498.0387639763573,-480.014041990846,4.044949865393733,3.8342790607027837,0.22175143631521643,0.587346903888388,0.03815218833518108,0.8426551406099155,1.0,7.768674778577278e-5,0.002573688535096659,0.5375977805923811,0.5990126264961314,0.14800504035267942
0.6283185307179586,-497.1812699094886,-479.1201012955555,2.32996173165634,2.0463976701217916,0.051669694213149625,0.5725165281836219,0.037975290783762716,0.8438274012202844,1.0,7.743777054015846e-5,0.002564902780742851,0.6528161035360097,0.5982200383409199,0.14811558578116688
0.6457718232379018,-496.7793886999687,-478.7418531383108,1.5261993126165407,1.2899013556323098,0.2573666688386352,0.554282220572402,0.03638292488659356,0.8432847588953475,1.0,7.77252740162468e-5,0.0025390499392150276,0.6871012689018513,0.597498165208393,0.14834741157659231
0.6632251157578452,-496.5633528341584,-478.48574202479233,1.0941275809959734,0.7776791285954232,0.10258513700989574,0.5387218867675431,0.035879266320887115,0.8442357454227727,1.0,7.75025457704721e-5,0.002530924331849237,0.8543395243940767,0.5966151482265489,0.1484514645581809
0.6806784082777885,-496.5942412827215,-478.5033098019978,1.1559044781221246,0.8128146830063088,-0.04205385336901507,0.5261396160818945,0.03530638626920657,0.8448130428407798,1.0,7.728939017902017e-5,0.002523328822415682,1.0562566633484904,0.5958644313215672,0.14854187475144334
0.6981317007977317,-496.80344586100654,-478.7140407684198,1.5743136346922029,1.2342766158503764,-0.16936826872809907,0.5157143526691702,0.034476803226204056,0.8464979366554974,1.0,7.710434398903245e-5,0.002516650798118531,1.3227332667914042,0.5952615136561432,0.1486222142988531
0.715584993317675,-497.0503081527221,-478.9578150710925,2.06803821812332,1.721825221195786,0.13914836662800115,0.49846905166348765,0.034122209881965126,0.8438322249900225,1.0,7.751492761797162e-5,0.0024924775863667814,1.273334461515621,0.5938251160647942,0.14883821721170792
0.7330382858376183,-497.35007890706515,-479.2417749478132,2.6675797268094357,2.2897449746371876,0.04987572716524152,0.4909051417837118,0.03380402693065887,0.8447652344922654,1.0,7.738765695201057e-5,0.0024879367842117663,1.4913541470895162,0.5934064383419371,0.14889106148373035
0.7504915783575616,-497.63049205490154,-479.51477377901995,3.228406022482204,2.8357426370506573,-0.018057408443425002,0.4830334381749539,0.03404468920154058,0.845410834623906,1.0,7.728947485171083e-5,0.0024844926332540907,1.6772056173040188,0.5930409451815971,0.1489297992292565
0.767944870877505,-497.83810948504475,-479.72355794804514,3.6436408827686364,3.2533109751010443,-0.06417860856225303,0.4815399297315472,0.03337634403101253,0.8454132601122792,1.0,7.722586500803642e-5,0.002482160256188505,1.8220427813326943,0.5928980575626512,0.14895278331172968
0.7853981633974483,-498.0655714440717,-479.9693236903244,4.098564800822487,3.744842459659594,0.14251781085590481,0.46946169960990186,0.028568101888665653,0.8413396011421121,1.0,7.747880599965392e-5,0.002470961626873094,1.7444706897342444,0.5928025018002443,0.1490266368115255
0.8028514559173915,-498.043773581809,-479.9543016726223,4.054969076297084,3.7147984242553775,0.14219749111681304,0.4689209284022377,0.028383742735054507,0.8395657899944003,1.0,7.747780754392429e-5,0.002470977714558148,1.7992378275451952,0.5927794852857281,0.14902045327416824
0.8203047484373348,-497.76874591916237,-479.6759189144211,3.504913751003869,3.1580329078529985,-0.060175575175368486,0.4818732222493847,0.03347975290195149,0.8398685210461531,1.0,7.72315345728571e-5,0.002482365284826149,1.9857812348930315,0.5929342917085152,0.1489305110223439
0.837758040957278,-497.50906998068945,-479.433024208306,2.985561874058021,2.6722434956227517,-0.011159401656240013,0.48683834104930906,0.033427802245571514,0.8358900943730642,1.0,7.730078397270484e-5,0.002484838061187056,1.9502964748896225,0.593173396053761,0.1488971961487179
0.8552113334772213,-497.17332601226985,-479.12199353074953,2.3140739372188364,2.0501821405098326,0.05715799370237804,0.49117689046882496,0.03385739736735349,0.8308441619766548,1.0,7.739841662082517e-5,0.002488299403495752,1.8586977192049607,0.5934491644294924,0.14885457866815993
0.8726646259971647,-496.80456969611845,-478.7927215732628,1.5765613049160265,1.391638225536326,0.14125971680175617,0.5007123435668491,0.03365614836614628,0.824709866661304,1.0,7.751950043929318e-5,0.002492577389134884,1.7002049663779277,0.5938839395166927,0.148805252795649
0.890117918517108,-496.46275014777405,-478.5038565781651,0.892922208227219,0.8139082353409322,0.2370409478359699,0.5063779351269383,0.03416798872615523,0.817557130904209,1.0,7.765496467216988e-5,0.002497459327151042,1.4497220322708686,0.5942621263991028,0.14875514851912036
0.9075712110370513,-496.1783082078664,-478.2128114449614,0.32403832841191615,0.23181796893356932,-0.049623503537809435,0.5240928314351724,0.03504890773485414,0.8151324948429519,1.0,7.727809720144485e-5,0.0025229277008670336,1.5940019005790635,0.5957998461512719,0.14853374563477656
