ordering,alg,B,n_seeds,Nlike_mean,P_upper_octant,dcp_mean,dcp_q16,dcp_q50,dcp_q84,dcp_sd,dm21_mean,dm21_q16,dm21_q50,dm21_q84,dm21_sd,dm31_mean,dm31_q16,dm31_q50,dm31_q84,dm31_sd,dm32_mean,dm32_q16,dm32_q50,dm32_q84,dm32_sd,kamland_energy_scale_mean,kamland_energy_scale_q16,kamland_energy_scale_q50,kamland_energy_scale_q84,kamland_energy_scale_sd,kamland_flux_scale_mean,kamland_flux_scale_q16,kamland_flux_scale_q50,kamland_flux_scale_q84,kamland_flux_scale_sd,kamland_geonu_scale_mean,kamland_geonu_scale_q16,kamland_geonu_scale_q50,kamland_geonu_scale_q84,kamland_geonu_scale_sd,nc_norm_mean,nc_norm_q16,nc_norm_q50,nc_norm_q84,nc_norm_sd,nutau_cc_norm_mean,nutau_cc_norm_q16,nutau_cc_norm_q50,nutau_cc_norm_q84,nutau_cc_norm_sd,sin2_2th13_mean,sin2_2th13_q16,sin2_2th13_q50,sin2_2th13_q84,sin2_2th13_sd,sin2_2th23_mean,sin2_2th23_q16,sin2_2th23_q50,sin2_2th23_q84,sin2_2th23_sd,sin2_th12_mean,sin2_th12_q16,sin2_th12_q50,sin2_th12_q84,sin2_th12_sd,sin2_th13_mean,sin2_th13_q16,sin2_th13_q50,sin2_th13_q84,sin2_th13_sd,sin2_th23_mean,sin2_th23_q16,sin2_th23_q50,sin2_th23_q84,sin2_th23_sd,tan2_th12_mean,tan2_th12_q16,tan2_th12_q50,tan2_th12_q84,tan2_th12_sd,th12_mean,th12_q16,th12_q50,th12_q84,th12_sd,th13_mean,th13_q16,th13_q50,th13_q84,th13_sd,th23_mean,th23_q16,th23_q50,th23_q84,th23_sd
IO,is,50000.0,3,50000.0,0.9036666666666666,1.4782788409828906,0.0912504923837954,0.12559845535173378,3.4990300112989896,1.7861236570540144,7.74556812167245e-5,7.434908804707697e-5,7.739685086191809e-5,7.95251051466868e-5,2.2743170246901797e-6,-0.0024708386351571924,-0.0025302932966479313,-0.002447442447101177,-0.002378293037458069,6.675253681296215e-5,-0.002548294316373917,-0.0026076901475098496,-0.0025257430972665477,-0.0024568378696328713,6.572886305016555e-5,-0.23022214685742637,-1.3910222113605557,-0.022364021071628937,0.873656972673976,0.8830460044956389,0.5856252717044265,0.021571153630768336,0.6571280701114413,1.2602067516482771,0.6558401990303677,-0.047838707227387964,-0.18026497383193152,-0.07381807261707168,0.1197811917648095,0.17636174995434337,0.8546206527269845,0.6865754940385504,0.8731795987410189,0.9583023858945164,0.1209910674004227,0.9923020846766424,0.9424590944947574,0.969324072183394,1.0631382023269376,0.12489516597942893,0.08447524890875044,0.07897103770743638,0.08525136475063905,0.0891111978656438,0.004126665492187043,0.9279857795896513,0.9047009161321724,0.9175120027883646,0.9665083528104499,0.032691887180423776,0.32167850415522337,0.2951318723105417,0.3082245866209574,0.3511131320559728,0.03398607501387517,0.02158592708753618,0.02014873077885799,0.021787537999750334,0.022797526689572727,0.0010782539113503623,0.6093488372604077,0.5521217303973528,0.6436036186971236,0.6518767960790598,0.07775916452212246,0.47827694601190696,0.4187050892455264,0.4455558562213208,0.5411006901225495,0.08117183459349409,0.6026144748804311,0.5743157061839267,0.5885791007026149,0.6342182890109584,0.035868589693835475,0.1474099293334091,0.14242727218008247,0.14814734250449987,0.15156815917649796,0.003711073854639252,0.8963631485373441,0.8376147569400169,0.9310531417518866,0.9397131311642082,0.07899226468775174
IO,mh,50000.0,3,50000.0,0.6231666666666666,3.0330309952177283,0.9340531846058509,2.9263092113285154,5.240505038352817,1.823725701382957,7.738675847906738e-5,7.51722008730771e-5,7.729832979150359e-5,7.964109566670059e-5,2.258408300224049e-6,-0.002459056695641784,-0.00251543322254396,-0.0024586739665324172,-0.002402412724920521,5.8255402155855726e-5,-0.002536443454120851,-0.002592890626484963,-0.0025361327415203173,-0.0024794887414566935,5.835675894322676e-5,-0.008829438995726763,-0.9761459261969603,-0.013539489186813247,0.9570729636435522,0.9586500778949325,0.5842901698296771,-0.35587044322320316,0.5793041691879277,1.5447395348559487,0.9334765389709073,0.03697180650266502,-0.20064312469909862,0.03560334376719865,0.2842432137903085,0.22594092481183362,0.8605503665526614,0.732343624621042,0.8515623507818391,0.9880146301814048,0.13097681127920555,1.0036063059871954,0.8058921039146613,1.0048603985293953,1.2003617629834853,0.19809432035053792,0.08578291857125775,0.0825749664790137,0.08578008275031818,0.0889821998515933,0.0033290036603984773,0.9238671104252569,0.881377676249151,0.9256461526456304,0.9684794495190882,0.042100279591827744,0.3217727377282958,0.2843251236524834,0.3183737916386716,0.3581417657912404,0.03919868315426058,0.02192729392393238,0.021088464974744443,0.021925759622610154,0.022763737717782305,0.0008706749829877409,0.5441837790716101,0.3726227633472628,0.609638311752486,0.6690324271245536,0.13069545037598956,0.47961600506367275,0.3972825273726965,0.4670797392078892,0.5579764295346836,0.09017252385138287,0.6025210838466286,0.5624039953076078,0.5995199614489424,0.6415643492646972,0.04180100901162614,0.1485964277355162,0.14573399169576767,0.14862000754965832,0.15145492798144727,0.0029711000925295335,0.830557355943026,0.6566012680690703,0.895934657416564,0.9578281266797952,0.13291728574562048
IO,mw,50000.0,3,36779.0,0.6241,2.9637664061898628,0.9526777500990216,2.836328673086384,5.078161535792571,1.782359309928302,7.738506615259949e-5,7.515674782895823e-5,7.733511604159958e-5,7.961377996050586e-5,2.2408631551144493e-6,-0.002457298140181862,-0.002512143971392441,-0.0024567713698949445,-0.002402841736895226,5.4747997503520494e-5,-0.002534683206334461,-0.0025894620360676166,-0.0025343236017688862,-0.00247984040341577,5.496848262914917e-5,0.01970166285158181,-0.9144035471111951,0.017297892713297625,0.9445616033624198,0.9204562249017122,0.5887625540054124,-0.3200872168208785,0.5962130957437481,1.5089441403137789,0.9074530974125334,0.0346572413692274,-0.19884859074576422,0.03926501690629858,0.2713306025553367,0.22049013782838886,0.8606572895357754,0.7279829736070532,0.8515835572328438,0.9918962162671633,0.1320272326542147,1.000524575868146,0.7996999065859951,0.9999285379847361,1.1999445237721917,0.19656496091428177,0.08574066476690978,0.08261890812165931,0.08569637960612202,0.08887478868816599,0.0031710435100293015,0.9239516429778836,0.8818400248630166,0.9260709493182782,0.9674261417860293,0.04131834004971161,0.32106780991790257,0.28472129723023454,0.31870420158798896,0.3568211125353069,0.03721399998541364,0.02191617223202821,0.021099934256023335,0.021903874625123634,0.0227356049023157,0.0008291239076768491,0.5445741724619947,0.3727650244189538,0.6112691990535813,0.6683625846980339,0.13048186143468435,0.47748757169362627,0.3980564444708218,0.46779123301930203,0.5547774025074703,0.08401506841235304,0.6018152742435674,0.5628430300716685,0.5998745472373577,0.6401865390606358,0.03979226974351488,0.1485610690066238,0.14577389916940078,0.1485452664896417,0.15136058866035135,0.0028324838674492125,0.8309558419371877,0.656748377392683,0.8976068576809797,0.9571165601680081,0.13267372236247948
IO,ns,50000.0,3,43562.333333333336,0.8024833333333333,3.2570172914818105,1.2248635734219833,3.814866519477627,5.268461322306906,1.7757246260297095,7.775239945434606e-5,7.563401537736441e-5,7.682974868102992e-5,8.01030721619926e-5,2.4829445172910075e-6,-0.0024653585681406326,-0.0025237535485410903,-0.002485994209812017,-0.002388380530536374,6.883897937013865e-5,-0.0025431109675949784,-0.0026028669164003394,-0.002564510257983458,-0.0024645390960927197,6.969543088449486e-5,-0.10903005802818849,-1.4209941725954964,-0.43364289164999636,1.090132595883202,1.157953322674442,0.7754985056500692,-0.2534368001616034,0.7116972819136582,2.1743145224920903,0.9618243754076896,0.12234312282862192,-0.27566606779389,0.15783149913006533,0.46495381624068133,0.2953502589314204,0.8648127371227532,0.7132778798951469,0.8883716251536833,0.950758379675143,0.12645298566618865,0.9395185814576383,0.6250137769745279,0.9013863443626187,1.174454232989671,0.25723983867493105,0.08491890540378873,0.08155371350036605,0.08532257301514609,0.08847204612603318,0.0035331100577988468,0.9224737851855185,0.8828260809001724,0.9093624149424364,0.9743064070122607,0.04390525252717363,0.34137052437069915,0.28728858817311637,0.3205479279184648,0.39743548560948694,0.05635725821886842,0.021701535269426458,0.020821983366402248,0.021806151496891926,0.022630134519896924,0.0009232007550375246,0.5809212911079347,0.40822835439034294,0.6217495572523388,0.6600186359998735,0.11328509275679603,0.5306343705641768,0.40309244864862404,0.4717741561026524,0.6595733338387647,0.14475509803900016,0.6229381223122529,0.565683640636953,0.6018513891688412,0.6821003945769886,0.05884166382428487,0.147819389165155,0.1448037581926419,0.14821107877479228,0.15100640048391273,0.003175863135802845,0.8677071155170382,0.6931032768226368,0.9083841278094773,0.9482825774887409,0.1153822597468265
IO,is,500000.0,1,500000.0,0.5998,2.697522422299111,0.19083482138413288,2.5796813034252457,4.764831658060412,1.8663991228386645,7.733711658570277e-5,7.56106728417836e-5,7.739685086191809e-5,7.965347833391869e-5,2.172084229613404e-6,-0.0024716523501970367,-0.0025302932966479313,-0.0024927117223292284,-0.002395935934118301,6.293214669939117e-5,-0.00254898946678274,-0.0026076901475098496,-0.002570489333752379,-0.002476370270596631,6.28331071609198e-5,-0.04330334967005905,-0.7954039232076617,-0.4468235331377439,1.0166375605031135,0.9386258047718339,0.4653622839536842,-0.32604563498809425,0.3515429600968667,1.3903819945046108,0.9558776915183993,0.03291534115595787,-0.2903199872532023,0.026016012784898623,0.29478243582070296,0.24195591455459062,0.834156482481856,0.6865754940385504,0.8302574080973522,0.9761905258204832,0.14491992289723732,1.0121238295729735,0.8750454835404575,1.028286069502201,1.1814771155847836,0.17608063078693714,0.08580081510486055,0.08222342770231118,0.08546291504987313,0.08925488348385768,0.003158190371024352,0.9266729684040388,0.8871279184762796,0.9340998800559994,0.9747237050553346,0.04051899223515196,0.32014204513668887,0.28672856728379403,0.3159984292438455,0.3584695602631858,0.03953412892553371,0.021931893755252684,0.02099671914023157,0.02184283834963664,0.022835165661764658,0.0008258490860705756,0.5428812675537853,0.3820913980672431,0.6258363428854973,0.6679822025719693,0.1284259696445088,0.4762044197729074,0.4019908188274192,0.46198494675167706,0.5587724885045935,0.09185957703648166,0.6007681902227364,0.565064649135088,0.5969678930101814,0.6419061560665189,0.04210240198194896,0.14861502880038235,0.14541437820854677,0.14833662394393898,0.15169419576832466,0.0028179713267188476,0.829275483914921,0.6663684622065355,0.9126022553448461,0.9567126455147087,0.13049836385224572
IO,mh,500000.0,3,500000.0,0.6063,2.9891134629077025,0.9248227839215134,2.8745600393369575,5.174822002926874,1.8083520778411704,7.738093575949336e-5,7.511574405193022e-5,7.733615325959586e-5,7.964813872651058e-5,2.272954327254623e-6,-0.002457327705792242,-0.0025144333099100338,-0.002456547097862557,-0.0023999265938264183,5.7290650439525715e-5,-0.002534708641551735,-0.002591767748317969,-0.0025339249075412556,-0.0024771386492942614,5.735464461447131e-5,0.004034524660238417,-0.9880248213142822,0.007694717375769766,0.9994263799520378,0.9862817562972804,0.6048733656900801,-0.31569529865557033,0.6135369676462266,1.5310190575243594,0.9181658990557451,0.038420832446576375,-0.19706004549736653,0.04264978407254466,0.27635165652323457,0.22264509374506342,0.8630345731181531,0.7328993228850926,0.8545803641666819,0.9943492784386789,0.13194825683657133,1.0005016680089347,0.8054554415478524,0.9998961695085335,1.1968518884385002,0.19550178724995354,0.0857777582276599,0.0826311608359132,0.08577568810433367,0.08892658683865848,0.003177334951954239,0.9255622725699589,0.8833016164490894,0.9273071620511524,0.9699118649887564,0.04174827954008143,0.3220382379253419,0.28536012678658906,0.3190761289968994,0.3578613093347449,0.038766830960829446,0.021925873693442243,0.02110313240633773,0.02192461057494647,0.02274917151424943,0.0008307892693083745,0.5394071635621475,0.37159802653810325,0.6032701917246754,0.6668824729020167,0.13060165235308616,0.4800755452912172,0.39930619250786403,0.4685929552316914,0.5572959775478626,0.08907005041080758,0.6028186085653916,0.5635505863077599,0.6002735712822262,0.6412718491673653,0.0413499364441306,0.14859409902923004,0.1457850252716122,0.14861608426005704,0.15140608944083617,0.0028380724577923423,0.8256899289011025,0.6555412704493209,0.8894170511036409,0.9555455337381951,0.13279025942602057
IO,mw,500000.0,3,115113.66666666667,0.6251666666666666,2.8875689190206097,0.9393452060225027,2.7516777828469063,4.95685256726282,1.72752164701555,7.727846362539674e-5,7.505090332986082e-5,7.72231257831449e-5,7.954531806385287e-5,2.221951693704735e-6,-0.0024625844633099844,-0.0025162132924221865,-0.0024618054813287135,-0.0024080534921563698,5.426245341120306e-5,-0.002539862926935381,-0.0025933082307203676,-0.0025394439010608502,-0.0024852004586371278,5.4409319689217177e-5,-0.04095840656527498,-0.9705413629601627,-0.05654745018191942,0.8770573760898346,0.9152507037324925,0.5813899748196789,-0.3071143165898751,0.5908196441873725,1.4753878662362494,0.8658583983450188,0.024039312668046656,-0.2054224848665024,0.029006248049467942,0.25434532287518685,0.21428389093137035,0.8568158147909173,0.7262512505216061,0.8503846375635785,0.9849644242570977,0.1294601260978919,0.9974409142745011,0.8085991454070052,0.9961838366500432,1.1905943803443773,0.18436578258514896,0.08570608235338595,0.08254140590655958,0.0857341149219477,0.08891912868085074,0.003183865700065595,0.9205797535272808,0.8785328362730843,0.9221412434734872,0.9635259111138477,0.04075736224019437,0.3203491710684938,0.2864445333500126,0.31821805201442505,0.3546521535599895,0.03517691649843185,0.021907136154409364,0.021079705458872722,0.021913740764794628,0.022747218101573225,0.0008324440668504642,0.5459651918313168,0.37070253188454416,0.6171513294866692,0.6711794618833916,0.1332011954428256,0.47541160301853697,0.40143275013338114,0.4667446138918363,0.5495519284931197,0.07888778959075032,0.6011034004787361,0.5647505681125324,0.5993527924748037,0.6379212386666523,0.03764844567265543,0.14852996987219172,0.145703505724602,0.14857896558325923,0.151399538747093,0.0028449440569337037,0.8323982257617485,0.6546144731813501,0.9036487623212128,0.9601113617368308,0.1354789805333668
IO,ns,500000.0,2,343019.0,0.5529333333333334,3.132494431957373,1.374716783232378,2.7887558798012364,5.119144370093756,1.687293778566045,7.765126075695698e-5,7.527717509347572e-5,7.765243692216543e-5,7.99798669943722e-5,2.2439860677065233e-6,-0.0024526264250423822,-0.0025165590615192196,-0.002446831936532436,-0.0023973837510587043,5.585358152553517e-5,-0.0025302776857993392,-0.0025958113131964076,-0.0025237764022251804,-0.0024754461117182046,5.5877015068256613e-5,0.06533820534996461,-0.7458622199007343,-0.07562454873266278,1.0379805203105574,0.899815268013222,0.5624856196006944,-0.28134397628405017,0.6455036606292355,1.3859522896656493,0.888271185483056,0.02746843427789881,-0.21855887521635942,0.05168751695243001,0.27813794445633366,0.21973362028437607,0.8680025073450611,0.7275491158767937,0.8534543324672742,1.0094251834065724,0.13533149929210977,0.9906320753994944,0.8173956738135306,0.9723298323180177,1.2006588100915638,0.18573157925824077,0.08573472023508898,0.08258291792638452,0.08559860565457272,0.08886681232140078,0.0030923685450735382,0.9306168718996944,0.891792787111757,0.930219812626503,0.9720356813160475,0.03817134304839082,0.31987222404475035,0.28624983283109384,0.3179745241500816,0.35164955861584446,0.03548179512607342,0.021914582785851167,0.021090540374901486,0.02187831194730685,0.022733515822195623,0.0008085785661584716,0.5193202311969431,0.3606164551887133,0.5647838888947796,0.6538995529505824,0.1302796744372118,0.4744643434466283,0.401050459948059,0.46622088970185727,0.5423757526332705,0.07994472612289422,0.6005836284709151,0.5645352169754702,0.5990913489896739,0.6347801077729269,0.03797113510585664,0.1485569422142642,0.14574121385713248,0.14845791927989152,0.15135358095208812,0.0027612320393101074,0.8051952148958468,0.64414312956902,0.8503646987492727,0.9418376471893131,0.13231875603809554
IO,nuts,500000.0,2,450277.0,0.6209333333333333,2.8538831901905177,0.9410978301476584,2.613474915412455,4.966155749022269,1.738128953264429,7.740516352628723e-5,7.513802211620161e-5,7.743723325388603e-5,7.966828825936639e-5,2.2843086235188944e-6,-0.0024570223269108006,-0.002511467476068492,-0.002458232882404271,-0.0024009772543645016,5.6856453656853815e-5,-0.0025344274904370878,-0.0025891679116120973,-0.0025350277219238666,-0.0024784093053996435,5.6837948232720145e-5,-0.016773732185973972,-0.9164323522372739,-0.052957236610156055,0.8843912147536734,0.9176602545560489,0.6308907845416057,-0.28028166515104624,0.6618040447506353,1.5180195446855933,0.9061471183854333,0.033531497472596164,-0.21127678436872954,0.0360770569874721,0.27901069700449466,0.2251639673912046,0.8596896033822687,0.7274493046432435,0.8550354112271746,0.9882356053299396,0.12886347861485217,0.9984872757989866,0.7966377421262878,1.0050977308494025,1.1976573420733154,0.1970262706855838,0.08568074907260403,0.08247395647406423,0.08570881153655377,0.08893561434463952,0.0031377701304926282,0.9238434860641328,0.8824783953177161,0.9256531019993084,0.9658877394542444,0.04042530861236547,0.32391523269215033,0.2868329529133283,0.3199199685792209,0.3596921063084837,0.03947160637966859,0.02190049167447634,0.021062101226595412,0.021907125010357895,0.02275153597539979,0.0008202938231036683,0.5413130859769739,0.37094858209825304,0.6080932079350548,0.6672317893831344,0.13165350845482282,0.4844289390481613,0.402196026982819,0.47041517732973975,0.5617486678709822,0.0916859726852947,0.6048181673343788,0.565180054019354,0.6011784308675564,0.6431803561686343,0.041992115022051885,0.14850796423609075,0.1456422185066212,0.14855636942596662,0.15141401820224662,0.002807137769540693,0.827608710396704,0.6548691699243133,0.8943515725761748,0.9559161485057377,0.13385625475928317
IO,ns,4.0e6,1,850365.0,0.5772666666666667,2.8745471373982494,0.9164690619374252,2.6510561354427677,5.034916785628203,1.773063195474407,7.747190594025018e-5,7.543623677041066e-5,7.747566690897336e-5,7.953248806814575e-5,2.0569093654813597e-6,-0.0024598951943382093,-0.002513277508522795,-0.0024599442120557397,-0.002405841166114383,5.307490061739917e-5,-0.00253736710027846,-0.002590572554201586,-0.002537469207126771,-0.0024832498676965746,5.309001077284197e-5,-0.009664033492339665,-0.9086610858919753,0.005633170739269833,0.8815652999137322,0.8955207699455516,0.5043091479372169,-0.3495370292563633,0.49981059897725544,1.3587135077005383,0.8395107001291158,0.01850734320699194,-0.1797599688017899,0.014678203995208583,0.22448473783769707,0.19446852038158882,0.8658147162182804,0.7459566951398743,0.8570600874689227,0.98759597817521,0.12237085555175364,0.9982845082114344,0.8125251883166277,0.9963109518482542,1.1837172884152234,0.18314310816770812,0.08570684434983002,0.08293145503182345,0.0857289923114187,0.08845887729612847,0.0027963914524430497,0.9255362201821186,0.8855675790392328,0.927048339266345,0.9661340786725993,0.0389893197045844,0.3185400513408863,0.2840060767461607,0.3156572824657908,0.35276273407023034,0.03510731338524724,0.021907169710761586,0.02118152057168639,0.021912401413563824,0.02262668625491135,0.000731127538186176,0.5324074896625844,0.36895855220328283,0.6003244743460494,0.6656968626278098,0.13253675842866686,0.4714782716877477,0.39665989825094194,0.46125614312540936,0.5450284658184497,0.07870750837436385,0.5991633467279242,0.5620502973732597,0.5966009459753636,0.6359453517734681,0.03756619038686225,0.14853612789596107,0.14605747383724996,0.1485743912886692,0.15099480700544626,0.002498735845892329,0.8185927005043633,0.6528082074173382,0.8864083114489263,0.954288358699301,0.13468537132778924
