tag,ordering,alg,B,seed,Nlike_used,wall_time_s,N,neff,eta,stop,logZ,logZ_se,P_upper_octant,kamland_energy_scale_mean,kamland_energy_scale_sd,kamland_flux_scale_mean,kamland_flux_scale_sd,kamland_geonu_scale_mean,kamland_geonu_scale_sd,nc_norm_mean,nc_norm_sd,nutau_cc_norm_mean,nutau_cc_norm_sd,dm21_mean,dm21_sd,dm31_mean,dm31_sd,dcp_mean,dcp_sd,th12_mean,th12_sd,th13_mean,th13_sd,th23_mean,th23_sd
nu_dakami_IO,IO,is,50000.0,11,50000.0,625.4068902,50000,4.045537400142695,8.091074800285391e-5,budget,-510.24957857113293,NaN,0.9274711704348364,-0.4841203414099452,0.7350467428223411,0.4831024536853206,0.5334438934859221,-0.08630745415010585,0.18923143503147097,0.8080815933062921,0.13291547761718195,1.0184538920915018,0.08823654763688156,7.723916310841016e-5,1.520659113595502e-6,-0.0024882378702790983,5.986338753317811e-5,1.8056322928488016,1.7300650221654175,0.5990280764638163,0.03063704841336767,0.14906613974625554,0.0016593322664519535,0.913149263884616,0.06345295527480625
nu_dakami_IO,IO,is,50000.0,23,50000.0,964.5856205,50000,4.830513133494471,9.661026266988943e-5,budget,-511.3310167437496,NaN,0.8709331107827412,-0.3827302499833172,1.141371415494763,0.5994118330622633,0.82929903624983,-0.005867585192442654,0.1965778967093989,0.8119646191236409,0.0946833618553611,1.0056626912620374,0.15006612341855907,7.704218945588663e-5,3.328859327856919e-6,-0.0024751079040855146,8.523477983408845e-5,1.7638577202677865,1.8146946473085845,0.6162330634444882,0.037577862382406485,0.14935320274088348,0.003032638942212508,0.872463542997776,0.08767777081586504
nu_dakami_IO,IO,is,50000.0,41,50000.0,572.2066838,50000,1.7098300822051042,3.419660164410209e-5,budget,-511.18550139274424,NaN,0.9116894338248072,0.1738542620773529,0.49888556962707264,0.6722988320444858,0.5547965691664575,-0.048053584129844826,0.12877108599775772,0.944284895042806,0.07252288460377933,0.9547354569712603,0.1196647795231911,7.80932624069692e-5,1.228097447621491e-6,-0.0024486750328342934,4.1833250110453464e-5,0.880546165881092,1.658674837584403,0.5927511547393816,0.035438047994771224,0.14385079717658664,0.0032106815559778427,0.9033518617890965,0.07789525286771712
nu_dakami_IO,IO,mh,50000.0,11,50000.0,550.8678124,48492,44.51066791416734,0.0008902133582833468,budget,NaN,NaN,0.6659655200857866,-0.12070844506513266,0.9049079003293747,0.6346706774131365,0.9103612506104266,0.0383457499966821,0.2215357651869788,0.860599628814569,0.130845425422481,1.0127652691436628,0.19332223859773506,7.713675260508527e-5,2.209091434409451e-6,-0.0024598391279471547,5.8720695221809185e-5,3.237387926189651,1.8842169103611914,0.6046639970402266,0.040298721237471205,0.1486013216684231,0.002948447178259081,0.8407453967994946,0.1292895727986501
nu_dakami_IO,IO,mh,50000.0,23,50000.0,929.7792516,48492,38.72997153606342,0.0007745994307212684,budget,NaN,NaN,0.6512208199290597,0.0360538545438886,0.9856077112029138,0.5621945888929285,0.9447850283209223,0.02572929073532887,0.22959708227039732,0.8565981100448875,0.1313777724460678,1.0041564979119384,0.20033709132020747,7.751421544119255e-5,2.2564884656346613e-6,-0.002457758765948558,5.824820245383155e-5,3.210951733284945,1.786199825006705,0.6016118430673134,0.041954655739632384,0.14859128312254033,0.0029479927231565763,0.839224905427074,0.13048029592687965
nu_dakami_IO,IO,mh,50000.0,41,50000.0,505.1879471,48492,28.451428519378844,0.0005690285703875769,budget,NaN,NaN,0.5450177348841043,0.05848431451840026,0.9852054668235019,0.5695657886495336,0.935403125271201,0.046078153116198214,0.22625389998897769,0.8653458540355828,0.13247253254328217,0.9960763765588556,0.19928062876989144,7.751735283004275e-5,2.284902388856263e-6,-0.002458684185314696,5.7911880020670534e-5,2.662094823749424,1.7471511898304368,0.6016669904267825,0.04268848302988145,0.1486054964943162,0.0029866221377699946,0.8096246922657984,0.13636437235811688
nu_dakami_IO,IO,mw,50000.0,11,37750.0,390.3822882,9538,4101.928071551058,0.10866034626625318,T_max,-511.39354175100556,NaN,0.6228919215371096,0.012706294434828645,0.9265435316595423,0.5941303484281621,0.9167624145224381,0.036712884900349796,0.2225736335388053,0.8593901729534299,0.13099413242567637,1.0024243445152052,0.1969322925816255,7.737496168576751e-5,2.2722655040612613e-6,-0.0024582461811707974,5.654060178960552e-5,2.96490358487936,1.7798293743636122,0.6020758691346565,0.04060659762521109,0.1484963973440689,0.0028175947803873312,0.8306819546805373,0.13278072165134214
nu_dakami_IO,IO,mw,50000.0,23,36634.0,553.2810037,8422,3834.6645345807374,0.10467501595732755,T_max,-511.41803379370333,NaN,0.6330867855552189,-0.003084444750613577,0.9259966790688778,0.5861599483133384,0.9040244967763807,0.0333363135757896,0.21769736435104886,0.8606770873944685,0.13176571914303292,0.9960701795882252,0.1998310662410172,7.737220607217246e-5,2.2449775587483246e-6,-0.0024563239032142055,5.409334648825795e-5,2.990988118828974,1.7866340244720351,0.6019333696103586,0.03955558463213905,0.1486164323184213,0.0028545534395489104,0.8334992533408307,0.1318555102753641
nu_dakami_IO,IO,mw,50000.0,41,35953.0,294.5040639,7741,3170.3760687717727,0.08818112727093073,T_max,-511.44715618356827,NaN,0.6098831371912676,0.04577778478073704,0.9044361571074511,0.5796605834365488,0.9074589054308841,0.03275726519741439,0.22045988613960243,0.8630244482928672,0.13321683813189367,1.0033038493785682,0.19568189901939986,7.743318572593247e-5,2.225302894988469e-6,-0.0024567520105451676,5.3678220920188844e-5,2.9840016479572284,1.785781320238604,0.601794388927227,0.03951011815172927,0.1485713128795312,0.0028188375084200463,0.8271239007633207,0.133451838711402
nu_dakami_IO,IO,ns,50000.0,11,43619.0,544.6638378,10277,2.810461325144175,6.443204395204325e-5,budget,-510.9905080342855,0.05368153939276144,0.8654628702508788,-0.5313542215025837,1.1634967957758267,0.869702085066828,0.8976367699036357,0.3544039227562941,0.20135687651471204,0.9226601646978813,0.07936974083233926,0.9677318618151572,0.1657863588482615,7.728881779334859e-5,1.4478656460335193e-6,-0.0024826192079726805,4.4785639615732393e-5,4.180321984759955,1.7452680260672726,0.6331450562302694,0.0634883395898512,0.14699146583577596,0.0017744229050895416,0.9071976890714146,0.0900856965757431
