ordering,kind,seed,preliminary,T_max,iterations,n_components,Nlike_used,frac_of_budget,N_cloud,neff,eta,logZ,P_upper,W1_avg,wall_time_s,fresh_logZ,fresh_se,fresh_ess,fresh_P_upper
NO,protocol,11,false,20,20,169,117567.0,0.235134,3966,2275.831879529363,0.01935774392073765,-511.0738689227711,0.6140785561024376,0.005449324479521565,1001.9544037,-510.8758114367492,0.005689239722574935,20394.188738440847,0.6116087476433463
NO,protocol,23,false,20,20,169,117693.0,0.235386,4092,2191.018014525546,0.01861638342573939,-511.09297354163164,0.6259521734374749,0.00636835589293925,899.8331785,-510.8723023402653,0.006313979096720817,17688.99184972771,0.604263723081619
NO,protocol,41,false,20,20,169,118203.0,0.236406,4602,2232.179578460079,0.01888428871060869,-511.0904449848116,0.6524849423780877,0.007523281921961638,801.4830036,-510.85446859387145,0.025015602247000297,1556.5738490731937,0.5923743247266037
NO,long,11,false,100000,301,2417,500760.0,1.00152,112903,68981.01871262264,0.1377526533920893,-510.8625930935992,0.6132508201793829,0.002930367559622599,43968.6453271,-510.870325965422,0.003322003186320539,36098.23178280594,0.6077798023113956
IO,protocol,11,false,20,20,174,115391.0,0.230782,3297,2018.0695478172745,0.017488968358167226,-511.5028521329335,0.6278391644973322,0.009533468181504056,984.1533729,-511.26795537632046,0.008324665183535584,11632.565131432963,0.6155972552524112
IO,protocol,23,false,20,20,174,115086.0,0.230172,2992,1957.6505328415358,0.01701032734512917,-511.5544434321749,0.6019353584275995,0.008502943474735828,884.3227351,-511.28823267919023,0.0067358379734426856,16119.302522461723,0.6137832574468123
IO,protocol,41,false,20,20,174,114864.0,0.229728,2770,1248.9451998714646,0.010873251844541933,-511.5499085868003,0.6402508157218574,0.011939920481461202,782.2300521,-511.2676110369431,0.017672616889306384,3039.6721378011634,0.5959082076281297
IO,long,11,false,100000,332,2670,500275.0,1.00055,83669,54230.46909167425,0.10840131745874619,-511.26549415251964,0.6212593760166428,0.00352213049295783,41099.2029292,-511.2730812422854,0.0031248267067236343,37834.29550488561,0.6131510123799314
