experiment,bin_center,observed,no_osc,ppd_lo,ppd_med,ppd_hi
KamLAND,5.333333333333333,77.0,128.91724703579905,73.84760993068815,77.44256553364812,80.47313122559004
KamLAND,5.7555555555555555,70.0,100.99763004885743,55.82502349272315,58.74788521919837,61.37989989774328
KamLAND,6.177777777777777,48.0,69.38934310852159,36.50759224905629,38.246830564113935,39.96561875809442
KamLAND,6.6,14.0,34.53189398264678,14.46886123215113,15.380403708266146,16.264938853507733
KamLAND,7.022222222222222,9.0,18.26313099509789,8.133870013641785,8.530411720529434,8.991477569481013
KamLAND,7.444444444444445,2.0,8.595282846147711,4.436342253496095,4.5994644902303445,4.7734903991219895
KamLAND,7.866666666666666,1.0,4.1976688917245,2.4471238948341414,2.508882135322623,2.586229134924409
MINOS+ far detector (CC),0.5,13.0,16.604459510017072,8.463614190752958,9.086879108119337,9.606527515556623
MINOS+ far detector (CC),1.125,9.0,29.15948000160131,7.9934709385793905,9.128176888015714,10.152331588670403
MINOS+ far detector (CC),1.375,9.0,49.66856929171769,9.866553112199592,11.573723142837668,13.04152456408434
MINOS+ far detector (CC),1.625,19.0,71.40038978633552,15.14178542967872,17.168345303965314,18.87552537992021
MINOS+ far detector (CC),1.875,30.0,96.41692008703728,26.507304685962502,28.661333784537764,30.821326746316615
MINOS+ far detector (CC),2.125,44.0,122.65215660703004,42.985875152661414,45.43719131269707,47.823725055023026
MINOS+ far detector (CC),2.375,47.0,149.64391027565378,63.549034092142136,66.26381331460493,68.89652691276943
MINOS+ far detector (CC),2.625,86.0,173.79177896110792,84.78310465517976,87.65540389654413,90.40944703340658
MINOS+ far detector (CC),2.875,109.0,195.280982929071,106.26981426152773,109.21228697769308,112.12058924132332
MINOS+ far detector (CC),3.125,151.0,210.87703036240106,125.0063086067247,127.74468266818451,130.7034347330218
MINOS+ far detector (CC),3.375,140.0,219.1501295263308,139.27390863422733,141.85132456879413,144.7091867683722
MINOS+ far detector (CC),3.625,162.0,221.71769175725933,148.93768768662264,151.22716982685438,153.88902404352774
MINOS+ far detector (CC),3.875,156.0,219.07120244731408,154.28359389992107,156.29916315303404,158.7152246520045
MINOS+ far detector (CC),4.125,173.0,212.94798340979358,155.9330461653629,157.73039089206674,159.88509842824092
MINOS+ far detector (CC),4.375,173.0,206.5464660225148,156.60125167513826,158.15957160005917,160.06830802636543
MINOS+ far detector (CC),4.625,159.0,202.78415471447587,158.41436367020606,159.80867727195667,161.52338556229773
MINOS+ far detector (CC),4.875,169.0,199.22867667252615,159.73564990185034,160.9979097966298,162.50714724864665
MINOS+ far detector (CC),5.25,342.0,398.17606442212127,329.19265127883756,331.4230185018715,334.053783658663
MINOS+ far detector (CC),5.75,336.0,396.4193623289557,338.3615723238731,340.26380123711067,342.491342888171
MINOS+ far detector (CC),6.25,327.0,390.9406635611986,341.68864480223,343.3272522557688,345.2278853762283
MINOS+ far detector (CC),6.75,313.0,373.00271477841534,331.78798411708345,333.1674272465626,334.7639203773815
MINOS+ far detector (CC),7.25,323.0,341.7372242031752,308.2496774143499,309.375743257256,310.6756660421806
MINOS+ far detector (CC),7.75,266.0,302.2573634882426,275.7205887500317,276.6137032378176,277.6459888139914
MINOS+ far detector (CC),8.25,235.0,260.6257083933957,240.02754646365167,240.72243381782408,241.52409159884135
MINOS+ far detector (CC),8.75,197.0,219.94874889967633,204.1521896710875,204.68637538514713,205.30201868892533
MINOS+ far detector (CC),9.25,154.0,183.450205655608,171.46440332044006,171.87049506321347,172.33758496572125
MINOS+ far detector (CC),9.75,162.0,152.37214154834714,143.25840978105305,143.56743826459595,143.9230286981593
MINOS+ far detector (CC),10.5,209.0,238.44034170688332,225.88128795335504,226.30812135139206,226.80095071598487
MINOS+ far detector (CC),11.5,164.0,184.7154570921479,176.52829693629184,176.80662683182214,177.128290266537
MINOS+ far detector (CC),12.5,193.0,156.6949760182855,150.849031498372,151.0479871722223,151.27851505100818
MINOS+ far detector (CC),13.5,133.0,139.00776540876888,134.53899786881277,134.69115257487326,134.86791441964647
MINOS+ far detector (CC),14.5,133.0,124.73406237307108,121.2365521121817,121.35563284714529,121.49407128171809
MINOS+ far detector (CC),15.5,128.0,112.22622754126573,109.45961542625618,109.55370981003011,109.66253991822671
MINOS+ far detector (CC),16.5,112.0,100.93339198892637,98.70106883528264,98.77686826126421,98.86424062202789
MINOS+ far detector (CC),17.5,102.0,90.28461723023149,88.4762841938304,88.53773421220254,88.60869956413391
MINOS+ far detector (CC),18.5,80.0,80.68837366018116,79.20690615300768,79.25711975052619,79.31486866702816
MINOS+ far detector (CC),19.5,80.0,72.24423138522849,71.04289502852818,71.08368767960835,71.13070528108119
MINOS+ far detector (CC),21.0,127.0,124.16743768751631,122.36013737606251,122.42154715213596,122.49244939697897
MINOS+ far detector (CC),23.0,100.0,101.05916213207223,99.76856332871444,99.81228552097474,99.86252251971287
MINOS+ far detector (CC),25.0,87.0,83.47741602185698,82.53229610076828,82.56424856577134,82.6009672376364
MINOS+ far detector (CC),27.0,78.0,67.79806012808291,67.10637652038908,67.12976950417209,67.15665023423888
MINOS+ far detector (CC),29.0,55.0,56.66810456446244,56.1276620857422,56.1458026273562,56.16669785756519
MINOS+ far detector (CC),32.0,115.0,88.60786591596474,87.83946844704698,87.86524321020761,87.89486308203493
MINOS+ far detector (CC),37.0,101.0,92.15002059703225,91.45409147636488,91.47723158212885,91.50405675781599
