alg,B,lnK_NO_IO,se,n_pairs
is,50000.0,0.5801567576888829,0.6294959105790197,3
mw,50000.0,0.418218709566645,0.01773116906176793,3
ns,50000.0,0.677743650695902,0.5342236820130533,3
is,500000.0,0.7756517663265754,NaN,1
mw,500000.0,0.4499722342314385,0.01754784368624989,3
ns,500000.0,0.2674345118152246,0.08346928724000895,2
ns,4.0e6,-0.2274169943594302,0.07311384997183365,1
