value,llh,log_posterior,dchi2,dchi2_post,prof_kamland_energy_scale,prof_kamland_flux_scale,prof_kamland_geonu_scale,prof_nc_norm,prof_nutau_cc_norm,prof_dm21,prof_dcp,prof_th12,prof_th13,prof_th23
0.002,-547.8243219434884,-536.187307179864,103.63117926791722,103.64878451913103,-0.29309035410207335,0.44507707808137187,0.042608865856753386,0.8017019721839812,1.0,7.639658426197527e-5,0.04478427535120877,0.5890634306283162,0.15476087080834322,0.8033027105033783
0.002033333333333333,-541.5575958936389,-529.9142735500113,91.09772716821828,91.10271725942573,-0.3097377840545267,0.44547150999025786,0.04221990847799828,0.804035642434275,1.0,7.640285806955265e-5,0.051502502613994854,0.5889505848005103,0.15423375296381572,0.8032723950229228
0.0020666666666666667,-535.7068518381479,-524.0284163091513,79.39623905723636,79.33100277770575,-0.2108137882145444,0.4472351115222959,0.02495664086754934,0.8061191058438076,1.0,7.661562276932568e-5,0.05906053090491973,0.5893637765854987,0.15371769170803604,0.8032807500846042
0.0021,-530.2343911897909,-518.5254445234783,68.45131776052233,68.3250592063597,0.023732714531127942,0.4523402452089492,0.03445118378619161,0.8083743741100435,1.0,7.694672227520341e-5,0.06820132608755346,0.5899194567230646,0.15321039176317414,0.8034108614293086
0.0021333333333333334,-524.999505483345,-513.3464795570927,57.98154634763057,57.96712927358851,-0.36522375770483606,0.4520792804871032,0.018926030536847493,0.8105521852646026,1.0,7.639998793240824e-5,0.07866478860030661,0.5900933746864384,0.15277329567160308,0.8036337160496834
0.0021666666666666666,-520.1720612418259,-508.4519168689319,48.32665786459222,48.178003897266876,-0.10732852682689739,0.4622278273036252,0.04664904397687886,0.8128513893772882,1.0,7.678990895284714e-5,0.09261698102552822,0.5906768927331113,0.15232199570960517,0.8039050081671677
0.0022,-515.7623376841225,-504.0294143491585,39.50721074918545,39.3329988577201,-0.023205608346789888,0.4687257862180138,0.050802335905877904,0.8150687964252002,1.0,7.69484841913692e-5,0.1093091757269113,0.5910509122726707,0.15189921150811156,0.8044657287079358
0.0022333333333333333,-511.8057513273136,-500.0862629146432,31.594038035567678,31.4466959886895,-0.20563832428113515,0.4748363447914942,0.05374886273730328,0.8173151036178345,1.0,7.670282595475783e-5,0.13121892316184885,0.5916277078924603,0.15150392751259859,0.8054499712392613
0.002266666666666667,-508.2025382074869,-496.4688203045972,24.387611795914268,24.211810768597502,-0.1766446255955704,0.47467284350199845,0.03774058492838861,0.8192101389619939,1.0,7.681918410112898e-5,0.15970688761737506,0.5912099107029161,0.1511291665166777,0.8073726737947433
0.0023,-505.3193144870937,-493.57047628794,18.621164355127917,18.415122735283035,-0.1393429095717511,0.46998127317890287,0.029389676986052216,0.8207680226802514,1.0,7.694116008776593e-5,0.19918094477010684,0.5918804102555177,0.15074093598133564,0.8116574479096643
0.0023333333333333335,-502.9173542183097,-491.1535767312654,13.81724381755987,13.581323621933848,0.054706717543687756,0.4572447855476429,0.03417990244081226,0.8209517169812104,1.0,7.719127261718488e-5,0.25052023128468953,0.5919132702949399,0.15036613414102246,0.8237077755285331
