ordering,alg,B,seed,chain,n,frac_upper,mean_sin2th23,rhat_th23,acc_rate
NO,mh,250000.0,11,1,59450,0.5786711522287636,0.5102563674441257,1.0876152559454682,0.28418361339590587
NO,mh,250000.0,11,2,59450,0.6361984861227923,0.5232559869733356,1.0876152559454682,0.28515920674168643
NO,mh,250000.0,11,3,59450,0.3228931875525652,0.4805565210692729,1.0876152559454682,0.2831070966005618
NO,mh,250000.0,11,4,59450,0.5428427249789739,0.5055552633194562,1.0876152559454682,0.28568544995794787
NO,mh,250000.0,23,1,59450,0.5389066442388561,0.5049929234075656,1.0315233268264645,0.28372945787287007
NO,mh,250000.0,23,2,59450,0.5442893187552565,0.5092310664866034,1.0315233268264645,0.286000235488049
NO,mh,250000.0,23,3,59450,0.4306812447434819,0.4912041092796991,1.0315233268264645,0.28820373080351885
NO,mh,250000.0,23,4,59450,0.40780487804878046,0.4897311415126287,1.0315233268264645,0.2846425567703953
