kind,seed,ordering,N,n_finite,cloud_logZ,cloud_neff,fresh_logZ,fresh_se,fresh_ess,fresh_eff,pareto_k,fresh_P_upper,fresh_sin2th23_mean,fresh_sin2th23_sd,fresh_dm32_mean,fresh_dm32_sd,wall_s
nseed8,11,NO,30000,30000,-1261.928594191383,1054.566607395568,-1260.5675656198223,0.09240263058753574,116.66848659321174,0.003888949553107058,0.9557888777692908,0.4380765706635329,0.4955250436483136,0.05579712764675676,0.002410467468163354,3.703701722446899e-5,1539.9609999656677
nseed8,23,NO,30000,30000,-1262.03374063466,968.0562135560249,-1260.7941103678193,0.06360874975181138,245.14180969315112,0.008171393656438371,0.8925625036026125,0.5273954209099478,0.503396576503909,0.052878406039108136,0.0024076704899996847,3.680448406085457e-5,1542.3599998950958
nseed8,41,NO,30000,30000,-1262.0249709168197,459.62731953293047,-1260.6637577722493,0.09453245373122081,111.48992585449795,0.0037163308618165984,0.8685745574354996,0.4064785799179218,0.4885804042147264,0.04931364793631788,0.0024039717492918677,3.520394462094595e-5,1574.5309998989105
protocol30,11,NO,30000,30000,-1260.3602977131707,18.085941577734506,-1260.8975737357287,0.03925054738485917,635.3694478654193,0.021178981595513974,0.8481020663115001,0.40206224301949356,0.48764699155352653,0.04732254567020403,0.0024086160607993505,3.410291237356212e-5,1591.8830001354218
